task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,extended_imf,galpy_potential,M_vir,c_halo
1,10000000.0,416869.3834703355,-1.7,26.25,3000,1,True,True,True,1000000000.0,17
2,10000000.0,416869.3834703355,-1.7,26.25,3000,2,True,True,True,1000000000.0,17
3,10000000.0,416869.3834703355,-1.7,26.25,3000,3,True,True,True,1000000000.0,17
4,10000000.0,416869.3834703355,-1.7,26.25,3000,4,True,True,True,1000000000.0,17
5,10000000.0,416869.3834703355,-1.7,26.25,3000,5,True,True,True,1000000000.0,17
6,10000000.0,416869.3834703355,-1.7,26.25,3000,6,True,True,True,1000000000.0,17
7,10000000.0,416869.3834703355,-1.7,26.25,3000,7,True,True,True,1000000000.0,17
8,10000000.0,416869.3834703355,-1.7,26.25,3000,8,True,True,True,1000000000.0,17
9,10000000.0,416869.3834703355,-1.7,26.25,3000,9,True,True,True,1000000000.0,17
10,10000000.0,416869.3834703355,-1.7,26.25,3000,10,True,True,True,1000000000.0,17
11,10000000.0,416869.3834703355,-1.7,26.25,3000,11,True,True,True,1000000000.0,17
12,10000000.0,416869.3834703355,-1.7,26.25,3000,12,True,True,True,1000000000.0,17
13,10000000.0,416869.3834703355,-1.7,26.25,3000,13,True,True,True,1000000000.0,17
14,10000000.0,416869.3834703355,-1.7,26.25,3000,14,True,True,True,1000000000.0,17
15,10000000.0,416869.3834703355,-1.7,26.25,3000,15,True,True,True,1000000000.0,17
16,10000000.0,416869.3834703355,-1.7,26.25,3000,16,True,True,True,1000000000.0,17
17,10000000.0,416869.3834703355,-1.7,26.25,3000,17,True,True,True,1000000000.0,17
18,10000000.0,416869.3834703355,-1.7,26.25,3000,18,True,True,True,1000000000.0,17
19,10000000.0,416869.3834703355,-1.7,26.25,3000,19,True,True,True,1000000000.0,17
20,10000000.0,416869.3834703355,-1.7,26.25,3000,20,True,True,True,1000000000.0,17
21,10000000.0,416869.3834703355,-1.7,26.25,3000,21,True,True,True,1000000000.0,17
22,10000000.0,416869.3834703355,-1.7,26.25,3000,22,True,True,True,1000000000.0,17
23,10000000.0,416869.3834703355,-1.7,26.25,3000,23,True,True,True,1000000000.0,17
24,10000000.0,416869.3834703355,-1.7,26.25,3000,24,True,True,True,1000000000.0,17
25,10000000.0,416869.3834703355,-1.7,26.25,3000,25,True,True,True,1000000000.0,17
26,10000000.0,416869.3834703355,-1.7,26.25,3000,26,True,True,True,1000000000.0,17
27,10000000.0,416869.3834703355,-1.7,26.25,3000,27,True,True,True,1000000000.0,17
28,10000000.0,416869.3834703355,-1.7,26.25,3000,28,True,True,True,1000000000.0,17
29,10000000.0,416869.3834703355,-1.7,26.25,3000,29,True,True,True,1000000000.0,17
30,10000000.0,416869.3834703355,-1.7,26.25,3000,30,True,True,True,1000000000.0,17
31,10000000.0,416869.3834703355,-1.7,26.25,3000,31,True,True,True,1000000000.0,17
32,10000000.0,416869.3834703355,-1.7,26.25,3000,32,True,True,True,1000000000.0,17
33,10000000.0,416869.3834703355,-1.7,26.25,3000,33,True,True,True,1000000000.0,17
34,10000000.0,416869.3834703355,-1.7,26.25,3000,34,True,True,True,1000000000.0,17
35,10000000.0,416869.3834703355,-1.7,26.25,3000,35,True,True,True,1000000000.0,17
36,10000000.0,416869.3834703355,-1.7,26.25,3000,36,True,True,True,1000000000.0,17
37,10000000.0,416869.3834703355,-1.7,26.25,3000,37,True,True,True,1000000000.0,17
38,10000000.0,416869.3834703355,-1.7,26.25,3000,38,True,True,True,1000000000.0,17
39,10000000.0,416869.3834703355,-1.7,26.25,3000,39,True,True,True,1000000000.0,17
40,10000000.0,416869.3834703355,-1.7,26.25,3000,40,True,True,True,1000000000.0,17
41,10000000.0,416869.3834703355,-1.7,26.25,3000,41,True,True,True,1000000000.0,17
42,10000000.0,416869.3834703355,-1.7,26.25,3000,42,True,True,True,1000000000.0,17
43,10000000.0,416869.3834703355,-1.7,26.25,3000,43,True,True,True,1000000000.0,17
44,10000000.0,416869.3834703355,-1.7,26.25,3000,44,True,True,True,1000000000.0,17
45,10000000.0,416869.3834703355,-1.7,26.25,3000,45,True,True,True,1000000000.0,17
46,10000000.0,416869.3834703355,-1.7,26.25,3000,46,True,True,True,1000000000.0,17
47,10000000.0,416869.3834703355,-1.7,26.25,3000,47,True,True,True,1000000000.0,17
48,10000000.0,416869.3834703355,-1.7,26.25,3000,48,True,True,True,1000000000.0,17
49,10000000.0,416869.3834703355,-1.7,26.25,3000,49,True,True,True,1000000000.0,17
50,10000000.0,416869.3834703355,-1.7,26.25,3000,50,True,True,True,1000000000.0,17
51,10000000.0,416869.3834703355,-1.7,26.25,3000,51,True,True,True,1000000000.0,17
52,10000000.0,416869.3834703355,-1.7,26.25,3000,52,True,True,True,1000000000.0,17
53,10000000.0,416869.3834703355,-1.7,26.25,3000,53,True,True,True,1000000000.0,17
54,10000000.0,416869.3834703355,-1.7,26.25,3000,54,True,True,True,1000000000.0,17
55,10000000.0,416869.3834703355,-1.7,26.25,3000,55,True,True,True,1000000000.0,17
56,10000000.0,416869.3834703355,-1.7,26.25,3000,56,True,True,True,1000000000.0,17
57,10000000.0,416869.3834703355,-1.7,26.25,3000,57,True,True,True,1000000000.0,17
58,10000000.0,416869.3834703355,-1.7,26.25,3000,58,True,True,True,1000000000.0,17
59,10000000.0,416869.3834703355,-1.7,26.25,3000,59,True,True,True,1000000000.0,17
60,10000000.0,416869.3834703355,-1.7,26.25,3000,60,True,True,True,1000000000.0,17
61,10000000.0,416869.3834703355,-1.7,26.25,3000,61,True,True,True,1000000000.0,17
62,10000000.0,416869.3834703355,-1.7,26.25,3000,62,True,True,True,1000000000.0,17
63,10000000.0,416869.3834703355,-1.7,26.25,3000,63,True,True,True,1000000000.0,17
64,10000000.0,416869.3834703355,-1.7,26.25,3000,64,True,True,True,1000000000.0,17
65,10000000.0,416869.3834703355,-1.7,26.25,3000,65,True,True,True,1000000000.0,17
66,10000000.0,416869.3834703355,-1.7,26.25,3000,66,True,True,True,1000000000.0,17
67,10000000.0,416869.3834703355,-1.7,26.25,3000,67,True,True,True,1000000000.0,17
68,10000000.0,416869.3834703355,-1.7,26.25,3000,68,True,True,True,1000000000.0,17
69,10000000.0,416869.3834703355,-1.7,26.25,3000,69,True,True,True,1000000000.0,17
70,10000000.0,416869.3834703355,-1.7,26.25,3000,70,True,True,True,1000000000.0,17
71,10000000.0,416869.3834703355,-1.7,26.25,3000,71,True,True,True,1000000000.0,17
72,10000000.0,416869.3834703355,-1.7,26.25,3000,72,True,True,True,1000000000.0,17
73,10000000.0,416869.3834703355,-1.7,26.25,3000,73,True,True,True,1000000000.0,17
74,10000000.0,416869.3834703355,-1.7,26.25,3000,74,True,True,True,1000000000.0,17
75,10000000.0,416869.3834703355,-1.7,26.25,3000,75,True,True,True,1000000000.0,17
